"","name_img","whiteRatio","sizeRatio","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","fit.cluster"
"1244","img-318.png",863,117,550,511,285,364,359,413,300,364,307,"0.494623655913978",10
"1245","img-319.png",867,256,241,644,344,303,377,470,284,290,353,"0.385416666666667",10
"1246","img-32.png",837,44,278,594,575,457,371,166,111,288,271,"0.27027027027027",30
"1247","img-320.png",1564,466,148,621,713,594,432,567,533,418,507,"0.5",18
"1248","img-321.png",1149,232,68,109,568,665,580,560,555,608,322,"0.333333333333333",29
"1249","img-322.png",1019,481,66,543,475,391,397,278,283,381,580,"0.623655913978495",25
"1250","img-323.png",1244,387,9,339,622,524,441,461,381,383,393,"0.3",26
"1251","img-324.png",1118,446,33,239,601,494,484,401,389,332,327,"0.370967741935484",11
"1252","img-325.png",919,65,209,386,583,684,491,288,293,267,255,"0.314285714285714",30
"1253","img-326.png",573,434,27,83,668,553,258,212,267,343,348,"0.580952380952381",16
"1254","img-327.png",765,177,123,389,673,516,326,280,287,263,293,"0.324324324324324",30
"1255","img-328.png",674,269,48,212,605,630,387,224,226,302,322,"0.319444444444444",17
"1256","img-329.png",980,301,50,246,637,661,406,308,385,410,358,"0.371428571428571",11
"1257","img-33.png",1042,44,238,594,613,522,326,208,214,331,209,"0.283783783783784",30
"1258","img-330.png",423,55,206,489,605,408,167,54,161,328,185,"0.291666666666667",4
"1259","img-331.png",797,261,85,536,696,516,291,198,253,328,342,"0.305555555555556",30
"1260","img-332.png",632,243,103,301,605,563,314,272,226,276,304,"0.305555555555556",16
"1261","img-333.png",709,289,53,161,628,635,399,200,258,283,268,"0.323529411764706",17
"1262","img-334.png",951,261,106,548,707,479,304,236,267,239,255,"0.357142857142857",30
"1263","img-335.png",879,64,85,437,679,630,366,246,182,276,284,"0.333333333333333",30
"1264","img-336.png",633,344,27,315,651,627,304,187,168,267,298,"0.314285714285714",16
"1265","img-337.png",846,253,87,468,698,516,258,260,240,292,335,"0.328571428571429",30
"1266","img-338.png",529,301,97,408,610,271,266,306,269,295,261,"0.289473684210526",16
"1267","img-339.png",1138,397,171,185,462,449,557,428,476,496,510,"0.606060606060606",3
"1268","img-34.png",574,51,123,486,575,498,154,166,167,144,293,"0.324324324324324",4
